"mid","codepost","censoredpost","politics","complaining","similarity"
"mNT8p0zDTD","【二月二，龙吐珠】上午10点许，浙江省玉环县天空突然黑下来，紧接着雷电交加，天空下起大冰雹，冰雹最大直径2厘米，持续时间约12分钟。图片：via地址：","【上海电视台女主持过分暴露四处走光引投诉】因上海某电视台女主持做节目时屡屡俯身采访暴露过多，而引起网友广泛热议。据电视画面，这名女主持人在采访和做节目的时候，时常内衣隐现、身形毕露，受到了不少网友的指责和投诉。","No","No",1
"mFLVsruGNJ","【悍匪白宝山供词节选】▲“我出来并没想重新犯罪，我给自己设计了两条道路，如果我能够正常地生活下去，我就不再犯罪；如果不能，我就去抢。”▲谈到自己的落网时刻：“我本来想拿枪打死他们（来到家里4名警察），可是，我母亲进来了，我就不能打了。我不忍心当着我母亲的面杀人，我做不到……”","【东方洪】金庸的最后两部小说《笑傲江湖》和《鹿鼎记》写于1967——1969年文革期间。其中两位邪教头目：东方不败和洪安通━━“东方洪”。东方不败夺得大权，无心处理教务，任由部下杨莲亭胡作非为，不予理睬。洪安通杀人不眨眼，与雅克萨的沙俄军官勾结,喜听奉承，参见他祝他“仙福永享，寿与天齐”","No","No",1
"mr3LdoyzzZ","【医院院长修电视机】医院院长电视机坏了，拿到一个大修理店去修。修理店接待人员:“OK，开机费50元”医院院长:“为什么还没修理就要先交费”？修理店接待人员:“我们修理店的制度就是这样，你们医院的挂号费，不是没看病之前就要交吗”？医院院长无话可说，只好交了50元。","【东方洪】金庸的最后两部小说《笑傲江湖》和《鹿鼎记》写于1967——1969年文革期间。其中两位邪教头目：东方不败和洪安通━━“东方洪”。东方不败夺得大权，无心处理教务，任由部下杨莲亭胡作非为，不予理睬。洪安通杀人不眨眼，与雅克萨的沙俄军官勾结,喜听奉承，参见他祝他“仙福永享，寿与天齐”","No","No",1
"mexrVJVWoU","博友们都很热心","【东方洪】金庸的最后两部小说《笑傲江湖》和《鹿鼎记》写于1967——1969年文革期间。其中两位邪教头目：东方不败和洪安通━━“东方洪”。东方不败夺得大权，无心处理教务，任由部下杨莲亭胡作非为，不予理睬。洪安通杀人不眨眼，与雅克萨的沙俄军官勾结,喜听奉承，参见他祝他“仙福永享，寿与天齐”","No","No",1
"mzqe2kBQr7","【老照片】100年前的汉城的民居和集市","【东方洪】金庸的最后两部小说《笑傲江湖》和《鹿鼎记》写于1967——1969年文革期间。其中两位邪教头目：东方不败和洪安通━━“东方洪”。东方不败夺得大权，无心处理教务，任由部下杨莲亭胡作非为，不予理睬。洪安通杀人不眨眼，与雅克萨的沙俄军官勾结,喜听奉承，参见他祝他“仙福永享，寿与天齐”","No","No",1
"mEjwHqUwlS","【陕西患癌女子遭父母、男友遗弃后离世遗体无人理】4月1日下午5点56分，24岁的贺瑾还是没能逃脱命运的捉弄，家人的遗弃、男友的躲避，让贺瑾带着遗憾离开了人世。据了解，贺瑾从小命运多舛，幼年父母离异，自小寄养在姑妈家。长大后，她只身到渭南打工，找了个当地的男友。","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mTSjii8vC0","【安庆市2012年高考将有248人享受高考加分】记者4月3日从安庆市教育招生考试院获悉，2012年普通高考报名工作已基本结束后，其中248人享受高考加分。","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"m4Y3B6yPxe","【天柱山迎来上海百辆自驾车大型旅游团】4月3日，天柱山迎来百辆自驾车大型旅游团。据介绍，上海百辆自驾车大型旅游团，聚集了来自上海、江苏、浙江、山东等多个省市的自驾游车辆。","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mgwju072k6","【广西7人团伙专劫独行女拍裸照】午夜，街道僻静，一单身女子正走在回家的路上，身后的一道“黑影”突然疾步上前，伸手从背后捂住女子的嘴，暗中埋伏的数名同伙跳出来，将女子拖上车开到僻静之处，洗劫财物后又拍下裸照，威胁她不许报警。这一幕近来在湖南、广西频频发生。","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mNlRq4rmad","【合肥明将迎祭祀最高峰】记者从合肥市民政局了解到，今天出门祭扫的市民达到35.1万人，比前一天多出4万多人。其中大蜀山文化陵园扫墓人数为1.6万人，小蜀山陵园10万人。预计，明天合肥将迎来祭扫的最高峰，人数有望突破40万人！请大家尽量避开高峰时段~","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mZmAnJBji8","一女生写到：如果我有男朋友，我就天天看他打篮球。帮他拿衣服给他送饮料，陪他跑步，给他唱歌，给他买早饭买中饭买晚饭买夜宵，天冷的时候给他暖手，给他送热水。可千万不能让他觉得冷、觉得寂寞。因为他可是我的男朋友啊！网友评论：皇上都没这待遇啊！","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mHBqPeGpb3","【另类“狼爸”：男子将9岁女儿与两只狼关在同一个笼子展出】在新疆，有一位父亲，为了在名犬展上吸引人潮，竟然把自己女儿和两只狼关在一起。这名9岁女童还大胆的和狼玩亲亲！这名父亲虽然说小女儿跟狼已经相处一段时间了，而且还强调是爱女儿要锻炼她，但还是引发了很大的争议。来源深圳卫视","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"m6E6ty90T0","【清明小长假首日合肥31万人扫墓】昨天是清明小长假的第一天，合肥各个公墓迎来了祭扫的首个高峰。昨天下午，记者从合肥市民政局了解到，当天省城共有约31万人扫墓祭祀先人，专程开往墓园的车辆达到了3.3万辆。合肥市民政局相关人员提醒，市民最好错峰祭扫，以免给自己造成不便。","【消息称大连实德董事长徐明遭中纪委调查建行追缴贷款】据财经国家新闻网消息，3月15日晚间，大连实德集团有限公司董事长徐明因涉嫌经济案件被相关部门控制，建行已经开始追缴实德的贷款，并对其全面停贷。大连实德突然遭遇生死一役！","No","No",1
"mc9u9IzNKh","【华中师大教师欲邀前AV女优讲课】今年29岁的，曾是日本AV女星，现在是防艾大使。华中师范大学教师彭晓辉欲请她来到《性科学概论》课堂，与同学们交流。有人预言这将是该校109年历史以来人数最多的课。彭晓辉称，红音萤能否走进课堂，学校还要研究。","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mSFeSCCwT2","不必担心“锰”过头。","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"m3epHQTRjU","北京时间27日上午，奥斯卡颁奖礼就要举行了。通过观影手册，看看有没有你的那杯茶吧。","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mpbjuQULjX","【快讯：一大巴翻入50米深山沟伤亡不详】今天中午十一时，一辆从河南三门峡市开往山西晋城的大巴，在山西晋城207国道一处山崖翻入50米左右深的山沟，车上载有乘客约32人，消防官兵已经从山崖下救出十名伤员，目前搜救正在紧急进行，伤亡情况正在统计。doN","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mTSgUNDrg8","看戏去哦，浙婺的演出不要错过","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mr3eiVyb63","【一男子昨猝死市区一网吧厕所内】该男子姓周，28岁，是婺城区乾西乡人。事发的网吧位于市区环城北路道院塘路口附近，网吧负责人金先生说，与周某一起来上网的还有两人，据监控录像显示，昨天下午1点半左右，周某离开电脑前往厕所。2点左右，有顾客去上厕所，发现他倒在里面……","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"m60mrW4Dmm","【紧急寻人，帮姜先生找母亲吴彩文，请大家帮忙扩散】吴彩文，1.55米，65岁，兰溪水亭方言，神智不太清楚。于2月24日中午从文荣医院走失，身穿深蓝棉袄，深褐色裤子，脚穿紫红色棉鞋，身上带着老年证。望好心人看到时，帮忙报警或联系姜先生83285449、15167961676。@金华公安","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mgZWHYsBu","【用谷歌地图研究踩点偷盗高档小区】江苏太仓一业主家中被盗走1万多元现金。警方通过伏击守候，将嫌疑人抓获。警方发现，其电脑中下载了大量的谷歌地图及手绘地图，对小区详细地理信息进行绘图研究，现场踩点，涉及太仓、上海、苏州等地区。这年头，干什么都得有点科技。广西卫视OeR","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mA3QnqO8Wi","#金报新闻#“【男朋友借了5万元之后就消失了】“为了开淘宝店，男朋友向我借了5万元钱，还写了借条，可是，拿到钱后不久他就消失了，直到现在也不露面。”“想起这件事，我最害怕的是，韦军民当初追求自己，向自己借钱，都是一个事先设好的局。如果真是那样的话，就太恐怖了。”张小燕说。","【温家宝之子出任中国卫通董事长】中国卫星通信集团公司召开董事会，选举温云松担任董事长。中国卫通是国资委管理的央企，中国六大电信运营商之一。据悉到2015年，其营收将达160亿元，成为亚洲最大、世界一流的卫星运营公司。称，温云松为中国总理温家宝之子。95","No","No",1
"mSaxIuW9UI","看得见的更着急，不如看微博。看不到春晚真着急，只能看你们的微博了。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mZwbtuTwN0","这下你老爸可以放心睡了。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"muy5lhQu0F","年是瞬间，魅力在于期盼；年是过程，精彩在于园满；年是总结，收获在于经验；年是开端，辉煌在于明天。祝龙年快乐，全家幸福，万事如意！","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mkTqylzA8S","这个建议不错。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mHBVFgaFTj","月上梢头潜龙飞，春风浩瀚映辰辉，江河依旧谁为王，盛世炎凉君独巍。给九思藏头，给林妹妹藏心，该给哪位藏尾？老任才华横流着呀九转辰龙欲飞天，思春化雨敬方圆，三十高歌唱功过，平忧守宁祝福年。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mqJcyjHFv5","回复看微博，听春晚。边春晚，边微博春总现场转播啊，微博也成了春晚？","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mdOAMRe32x","说不清楚.//@揭秘.//@潘石屹:在国外看这个小电影断断续续的。小电影是出钱。和他的团队出力制作的。没有台词，靠采访做成的，我和是打酱油的。原来是SOHO中国的副总，前几年自己创业去了，他是我接触到的远离物质世界的人之一.诚实的品质造就了他的一切。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"m5PiO67kGo","现代科技。","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"m80wb4s91W","这饭做的，非焦既胡？转发微博","【温总理语录】2008：今年恐怕是中国经济最困难的一年。2009：今年是新世纪中国经济最困难的一年。2010：今年是中国经济最复杂的一年。2011：今年中国经济不比任何一年轻松。2012：今年一季度可能比较困难…到底哪一年最困难您明白了吗？","No","No",1
"mU5SgmvF9s","做病了啦！你同病中不？","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mLL5CS09sB","孩子班级每天一篇博客汇报情况，有家长为班级捐献的记录。捐打印纸、洗手液、垃圾袋、纸杯、雨伞、扫具甚至打印机。每天有不同的家长送去全班孩子中午吃的几个哈蜜瓜，前天一家长捐了15盆花，昨天说学校丰富图书室每人捐两本书，今天就有家长一气捐了150本书。我片纸未捐。但，压得我坐立不安了~~","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mA3naC1295","恐惧不已。转发微博","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mNlL1KSOeM","代孕双胞胎。可爱的宝贝。早安！","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"m9Ieag0n45","关注环境就是关注自己","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mkbCUCZR8J","虽然前后莫言的意思可能不一样，后面的莫言含有不要说的意思，但还是显得太过了","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mH4kd4OL3e","美美美看到自己的作品有点小激动~~~成都的地铁站也有了！@一个_小白","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"m1cCMRqIw","回复无风无雨，秋干气燥，工地又多最近真差劲，不知为啥。","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"mQFm2wdzDA","#深圳PM2.5实时监测#10月12日，PM2.5实测值为110微克/立方米（国家标准日平均浓度为75微克/立方米，世界卫生组织安全标准是10微克/立方米），监测地点：深圳市福田区农林路。@晶报","【跨省毁报，是对中国新闻界的肆意践踏】几十万份报纸被废印厂，监督公权的新闻调查遭遇封杀。请全中国70万新闻记者一起呼吁，此风不可长！否则无新闻！","No","No",1
"m9RWgup8VU","3年不得申请，够狠！接触过圆通快递、韵达快递的童鞋请举手，我先举一个~全文详见x网店卖家和经常网购的童鞋都要注意了，今后相当一段时间，使用圆通快递、韵达快递，可能会延误收货时间，发货或下单前一定要问清楚~","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"murmiNXwH8","【“七星级马桶盖”准备申报世界十大建筑】位于浙江湖州市太湖旅游度假区的喜来登温泉酒店，耗资15亿元，定位“白金七星级酒店”，高101.2米、宽112米，被网友调侃造型酷似“马桶盖”。不过，这座公认很丑的建筑，外观设计已获得国家专利，并将申报“世界十大著名建筑”。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"murmIRF2ei","【网购成瘾剁手指真发生了！】苏州张女士是网购迷。在双11时，她就购进上万元物品。22日晚，她又在电脑前网购，完全不顾哭闹的女儿，引起丈夫不满，两人争吵起来。为表明不再网购的决心，张女士冲进厨房拿出菜刀，砍断了自己的左手大拇指。所幸送医及时，现已接上手指。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"mZwxXoe0Fz","【见过这么做广告的吗？】@YUKIQUE：三面都是LED屏幕的广告车，路上严重影响司机注意力！给其它车辆造成不适感！！","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"mU5Tz1IMEf","【老婆肚子饿男子高速路上停车煮饭】11月20日，G42沪蓉高速奉节县朱衣镇境内，一辆面包车停在高速路上。附近摆满了锅碗瓢盆、水桶和一些饭菜，还有简易灶具和煤气罐。原来，因为坐月子的老婆喊饿，驾驶员王某便体贴地将车停靠在高速公路边，准备热白菜肉片饭给老婆吃。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"mpbSY3a6IK","【温州人爱吃的瓯柑今年迎来大丰收】被誉为“温州千年名果”的瓯柑本周开始采摘了。今年温州瓯柑产量喜人，零售价格预计能比去年便宜一两成，目前每斤采摘价为2.5元～4元之间。瓯柑与外地柑区别：外地柑口感偏淡，而本地瓯柑入口甘甜可口，略带苦味，吃后回味无穷，更耐存储，可存到明年端午前后。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"m4YTNNbJH3","【世界昏迷时间最长者辞世】世界昏迷时间最长的病人、美国迈阿密的爱德华达21日辞世，终年59岁。她17岁陷入糖尿病性昏迷，最后对母亲说的是“答应别丢下我”，母亲说“我永远不会”，并守诺到2008年以80岁高龄辞世，然后妹妹辞职全心照料。他们的故事催生了相关的书和歌曲，很多人不远万里去看望她。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"mEm0LSmJ6R","【实拍温州豪华婚礼车队】本月20日，说：“温州豪华婚礼：6辆劳斯莱斯+3辆法拉利跑车+8辆兰博基尼跑车+昆明空运玫瑰花拱门……”XRI0","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
"m4hC8CffMW","【二医生产科出事故了】@疯语者-isscaq：二医生产科出事故了，听说是一名产妇自然分娩难产大出血已被证实死亡，小孩还在抢救，目前家属还未见到小孩，生死未卜！据说难产时家属曾要求剖腹产，医生认为可以进行分娩，现在家属要求讨说法。","【重庆雷政富同志，请辟谣！】资深调查记者举报，重庆市北碚区委书记雷政富（正厅级），与重庆市开县赵家镇18岁女青年赵红霞发生不正当男女关系后，又动用权力将赵红霞抓捕，试图封口。由于本人水平有限，无法识别图片真伪，群众的眼睛是雪亮的，诚邀广大网友一起鉴定！","No","No",1
