author,coffee_drinker,favourite_animal
ANDEYNESTEROV,1,Guan
ANDIOSMARRTRUMP,1,Goose
ANDREASEULITZ,1,Guineafowl
ANDREBAKIN,0,Guppy
ANDREBEAULEGER,1,Jaguar
ANDREJFROLOV69,0,Chicken
ANDREWHEDDD,1,Domestic dromedary camel
ANDREYYKONDRAT1,0,Sea slug
ANDREY_LISCHINA,1,Minnow
ANDRISNABRT,0,Viper
ANDRIYCCCP,1,Blue whale
ANDROFAG,0,Peafowl
ANDRREETRT,0,Kingfisher
ANDRUNINVANYA,1,Wasp
ANDRYNAUMOV,0,Bug
ANDRY_VOLK,0,Cicada
ANDSBXX30,0,Humpback whale
ANDYDREWDANIELS,0,Lemming
ANDYHASHTAGGER,0,Anaconda
ANDY_PUCHINSKYI,1,American robin
ANEELSSTRT,1,Society finch
ANETTANOVGOROD,1,Pinniped
ANFINRUDSADIE,1,Llama
ANFISAMICKEY,0,Grouse
ANFRAIZER,0,Mollusk
ANGEELISHET,0,Bug
ANGEELISTR,1,Tuna
ANGELABACH991,0,Lab rat
ANGELA_LATTKE,0,Cardinal
ANGELIKAMUSI,0,Rabbit
ANGELIKOROTKOVA,1,Gayal
ANGELINADARCY_,0,Ostrich
ANGELINALADOVA,0,Ferret
ANGELISTRR,1,Rat
ANGELITHSS,1,Ox
ANGELOENOUGH,1,Aardwolf
ANGISDOOYL,1,Panther
ANGTHEESTR,0,Bobcat
ANG__BOWERS,1,Whitefish
ANIIANTRS,0,Cattle
ANISACRRUTR,1,Cape buffalo
ANISILOPE,0,Bald eagle
ANISSNOVOTR,1,Zebra
ANITABR1994,1,Smelt
ANITALOVEHEART,1,Mollusk
ANJELICAFAMOUS,0,Wasp
ANKIDINOVAKIRA,0,Basilisk
ANN1EMCCONNELL,0,Macaw
ANNABEZGUZIKOVA,1,Bison
ANNAMARFINA,1,Silkworm
ANNAMINGT,1,Leopard
ANNAROMAN0,0,Cockroach
ANNA_VYSOKAYA,0,Roadrunner
ANNETTETEAL1,0,Sparrow
ANNIEISBEAR,0,Jackal
ANNIEPOSHES,1,Vampire squid
ANNIJONSTR,1,Domestic silver fox
ANNSAM_SAM,0,Orca
ANNY_DUBI,0,Baboon
ANN_HANAH,1,Koala
ANN__BOGDANOVA,0,Nightingale
ANORAVERD,1,Zebra finch
ANOSSOVV,0,Giant squid
ANTHONYCANLASS,1,Guppy
ANTHONYCARTR,1,list
ANTHONYWOODBOY,0,Sea lion
ANTIEHARMON,0,list
ANTONFROMSPB,1,Alpaca
ANTONHAYHAY,1,list
ANTONINAPERVAY,0,Dolphin
ANTONOVMENMENCO,1,Gazelle
ANTONRUMSS,0,list
ANTOSHAKARGIN,0,Gerbil
ANTYSHEVALIDA,0,list
ANWARGAFUR,1,Pony
ANWARJAMIL22,0,list
ANYA_ISA1282,1,Mongoose
ANZGRI,0,Damselfly
AN_NA__AN,1,Roundworm
AN_N_GASTON,0,Pinniped
APRIILDTRUT,1,Gerbil
APRRILSBRUSS,1,Alpaca
APUHNA,1,Alligator
ARABMTR,1,list
ARAGARTRR,0,African leopard
ARCHIEOLIVERS,0,Domestic rabbit
ARESTOVEVG,1,Hornet
ARGENTINACATLE1,1,Bali cattle
ARIAANST,0,Tree frog
ARIANNA_PER_RY,0,Pheasant
ARIEENSLPE,1,Humpback whale
ARIELLE_BROWNIN,1,English pointer
ARIELSHINING,1,Blue jay
ARINA_RONDAL,1,Loon
ARISGRAYS,1,Yak
ARKADII_TROFIM,1,Puffin
ARKADSHIHKIN,0,Whale
ARKHIPOVICHIVNA,1,American buffalo (bison)
ARKHIPOVTIOVEOF,0,Falcon
ARMEDFREJYA,1,Mule
ARM_2_ALAN,0,Aardvark
ARNOLDPARRK,1,Centipede
ARONHOLDEN8,1,African leopard
ARONS_KWENDE,0,Tuna
ARSENI_ROMAN,1,list
ARTAUTUMN,0,Blue jay
ARTEMBOGACHENKO,1,Duck breeds
ARTEMMPLOTNIKOV,0,Manta ray
ARTEMSSFE,0,Harrier
ARTEM_POLISHHUK,1,Egret
ARTHCLAUDIA,1,Mammal
ARTKORCHUNOV,1,Animals by number of neurons
ARTURBURANOF,1,list
ARTUR__2014,1,Perch
ARTYRTOLSTOV,1,Buzzard
ARYANNAJ0NES,1,laboratory rat strains
ARZHANOVAAA,1,Mole
ASDIQARUSSIYA,1,Turkey breeds
ASHLEECOLLINSS,1,Pheasant
ASHLEEYWES,1,Louse
ASHLEYSIMPSN,0,Dolphin
ASHLEY_KRI,1,Rabbit
ASSUNCAOWALLAS,1,Sheep
ASWWIMMORRIS,1,Cat
ASYAARRIVE,1,Takin
ATIF_SHAIKH_ME,1,Alligator
ATLANTA_ONLINE,1,Dragon
ATULSCARPA,1,Narwhal
AURRLISTR,1,Fowl
AUSTINLOVESBEER,1,Common names of poisonous animals
